size of the array,time of ArrayStack,time of LinkedListStack
1143,42.0,125.0
1144,42.0,125.0
1145,42.0,83.0
1146,0.0,125.0
1147,41.0,125.0
1148,42.0,125.0
1149,41.0,125.0
1150,0.0,125.0
1151,41.0,125.0
1152,41.0,459.0
1153,42.0,166.0
1154,42.0,125.0
1155,41.0,125.0
1156,42.0,125.0
1157,42.0,125.0
1158,42.0,125.0
1159,42.0,125.0
1160,41.0,125.0
1161,41.0,84.0
1162,42.0,125.0
1163,42.0,125.0
1164,42.0,125.0
1165,41.0,125.0
1166,41.0,125.0
1167,42.0,83.0
1168,42.0,125.0
1169,41.0,125.0
1170,41.0,125.0
1171,42.0,125.0
1172,83.0,83.0
1173,42.0,84.0
1174,42.0,125.0
1175,84.0,83.0
1176,42.0,83.0
1177,42.0,125.0
1178,41.0,125.0
1179,42.0,125.0
1180,42.0,125.0
1181,0.0,125.0
1182,42.0,125.0
1183,0.0,125.0
1184,41.0,125.0
1185,42.0,125.0
1186,41.0,125.0
1187,41.0,83.0
1188,41.0,125.0
1189,42.0,125.0
1190,42.0,125.0
1191,41.0,125.0
1192,42.0,125.0
1193,41.0,125.0
1194,42.0,125.0
1195,41.0,84.0
1196,42.0,125.0
1197,41.0,125.0
1198,42.0,125.0
1199,41.0,125.0
1200,42.0,125.0
1201,41.0,125.0
1202,42.0,125.0
1203,41.0,84.0
1204,42.0,83.0
1205,42.0,125.0
1206,42.0,125.0
1207,41.0,125.0
1208,41.0,125.0
1209,42.0,125.0
1210,42.0,125.0
1211,41.0,84.0
1212,42.0,125.0
1213,42.0,84.0
1214,0.0,125.0
1215,42.0,84.0
1216,42.0,83.0
1217,0.0,125.0
1218,42.0,167.0
1219,41.0,125.0
1220,42.0,125.0
1221,42.0,125.0
1222,0.0,125.0
1223,83.0,84.0
1224,42.0,125.0
1225,42.0,83.0
1226,41.0,84.0
1227,42.0,83.0
1228,41.0,125.0
1229,42.0,125.0
1230,42.0,83.0
1231,41.0,125.0
1232,42.0,125.0
1233,41.0,125.0
1234,42.0,125.0
1235,0.0,125.0
1236,41.0,125.0
1237,42.0,125.0
1238,42.0,125.0
1239,41.0,84.0
1240,42.0,125.0
1241,42.0,125.0
1242,0.0,125.0
1243,42.0,125.0
1244,42.0,84.0
1245,42.0,125.0
1246,42.0,125.0
1247,42.0,125.0
1248,42.0,125.0
1249,42.0,125.0
1250,42.0,125.0
1251,41.0,125.0
1252,42.0,125.0
1253,42.0,125.0
1254,42.0,83.0
1255,42.0,125.0
1256,83.0,125.0
1257,42.0,125.0
1258,42.0,83.0
1259,42.0,125.0
1260,0.0,125.0
1261,42.0,125.0
